id,name,type,year,source,image_url,match_status
owarimonogatari,Owarimonogatari,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/owarimonogatari.jpg,matched_slug
owarimonogatari-2nd-season,Owarimonogatari 2nd Season,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/owarimonogatari-2nd-season.jpg,matched_slug
peter-grill-to-kenja-no-jikan,Peter Grill to Kenja no Jikan,anime,,witanime,,not_found_on_site
pluto,Pluto,anime,,witanime,,not_found_on_site
potion-danomi-de-ikinobimasu,Potion-danomi de Ikinobimasu!,anime,,witanime,,not_found_on_site
psycho-pass-2,Psycho-Pass 2,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/psycho-pass-2.jpg,matched_slug
psycho-pass-3,Psycho-Pass 3,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/psycho-pass-3.jpg,matched_slug
ragna-crimson,Ragna Crimson,anime,,witanime,,not_found_on_site
ranma1-2-2024-2,Ranma1/2 (2024),anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/ranma1-2-2024.jpg,matched_name
renai-flops,Renai Flops,anime,,witanime,,not_found_on_site
revenger,Revenger,anime,,witanime,,not_found_on_site
rokudou-no-onna-tachi,Rokudou no Onna-tachi,anime,,witanime,,not_found_on_site
romantic-killer,Romantic Killer,anime,,witanime,,not_found_on_site
rurouni-kenshin-meiji-kenkaku-romantan-2023,Rurouni Kenshin: Meiji Kenkaku Romantan (2023),anime,,witanime,,not_found_on_site
ryza-no-atelier-tokoyami-no-joou-to-himitsu-no-kakurega,Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega,anime,,witanime,,not_found_on_site
sabikui-bisco,Sabikui Bisco,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/sabikui-bisco.png,matched_slug
